District,Mandal,Date,Min Temp (°C),Max Temp (°C)
Adilabad,Mavala,14-Jul-22,22.2,24.5
Adilabad,Mavala,15-Jul-22,22.7,26.4
Adilabad,Mavala,16-Jul-22,23.9,31.3
Adilabad,Mavala,17-Jul-22,24.7,33.2
Adilabad,Mavala,18-Jul-22,23.6,28.9
Adilabad,Mavala,19-Jul-22,23.7,28.4
Adilabad,Mavala,20-Jul-22,24.8,32.3
Adilabad,Mavala,21-Jul-22,24.8,30.8
Adilabad,Mavala,22-Jul-22,25.0,28.8
Adilabad,Mavala,23-Jul-22,23.3,29.6
Adilabad,Mavala,24-Jul-22,23.7,26.3
Adilabad,Mavala,25-Jul-22,23.3,26.7
Adilabad,Mavala,26-Jul-22,23.5,32.8
Adilabad,Mavala,27-Jul-22,23.8,25.9
Adilabad,Mavala,28-Jul-22,25.2,32.5
Adilabad,Mavala,29-Jul-22,24.0,32.1
Adilabad,Mavala,30-Jul-22,24.0,31.1
Adilabad,Mavala,31-Jul-22,24.1,31.8
Adilabad,Narnoor,01-Jul-22,23.7,32.2
Adilabad,Narnoor,02-Jul-22,23.6,31.8
Adilabad,Narnoor,03-Jul-22,23.4,31.4
Adilabad,Narnoor,04-Jul-22,22.0,28.4
Adilabad,Narnoor,05-Jul-22,22.6,26.4
Adilabad,Narnoor,06-Jul-22,22.9,28.6
Adilabad,Narnoor,07-Jul-22,22.5,28.6
Adilabad,Narnoor,08-Jul-22,23.2,30.2
Adilabad,Narnoor,09-Jul-22,22.3,25.4
Adilabad,Narnoor,10-Jul-22,22.0,24.3
Adilabad,Narnoor,11-Jul-22,21.8,23.7
Adilabad,Narnoor,12-Jul-22,21.8,23.6
Adilabad,Narnoor,13-Jul-22,21.7,23.8
Adilabad,Narnoor,14-Jul-22,22.5,25.0
Adilabad,Narnoor,15-Jul-22,22.4,24.6
Adilabad,Narnoor,16-Jul-22,22.9,27.4
Adilabad,Narnoor,17-Jul-22,24.1,29.7
Adilabad,Narnoor,18-Jul-22,22.8,26.5
Adilabad,Narnoor,19-Jul-22,22.9,27.2
Adilabad,Narnoor,20-Jul-22,23.1,32.0
Adilabad,Narnoor,21-Jul-22,23.1,30.0
Adilabad,Narnoor,22-Jul-22,24.0,27.0
Adilabad,Narnoor,23-Jul-22,22.2,27.7
Adilabad,Narnoor,24-Jul-22,22.4,24.6
Adilabad,Narnoor,25-Jul-22,21.9,25.7
Adilabad,Narnoor,26-Jul-22,23.1,28.4
Adilabad,Narnoor,27-Jul-22,23.0,26.3
Adilabad,Narnoor,28-Jul-22,23.0,30.5
Adilabad,Narnoor,29-Jul-22,23.5,29.9
Adilabad,Narnoor,30-Jul-22,23.6,30.8
Adilabad,Narnoor,31-Jul-22,22.0,30.9
Adilabad,Neradigonda,01-Jul-22,23.4,32.9
Adilabad,Neradigonda,02-Jul-22,23.4,34.2
Adilabad,Neradigonda,03-Jul-22,23.5,34.6
Adilabad,Neradigonda,04-Jul-22,22.1,32.8
Adilabad,Neradigonda,05-Jul-22,22.9,30.0
Adilabad,Neradigonda,06-Jul-22,23.1,29.8
Adilabad,Neradigonda,07-Jul-22,22.8,30.5
Adilabad,Neradigonda,08-Jul-22,23.1,30.9
Adilabad,Neradigonda,09-Jul-22,22.8,28.0
Adilabad,Neradigonda,10-Jul-22,21.6,27.1
Adilabad,Neradigonda,11-Jul-22,22.4,27.6
Adilabad,Neradigonda,12-Jul-22,22.3,25.7
Adilabad,Neradigonda,13-Jul-22,21.7,25.6
Adilabad,Neradigonda,14-Jul-22,21.6,25.7
Adilabad,Neradigonda,15-Jul-22,22.3,24.6
Adilabad,Neradigonda,16-Jul-22,23.3,32.2
Adilabad,Neradigonda,17-Jul-22,24.2,32.8
Adilabad,Neradigonda,18-Jul-22,23.1,26.0
Adilabad,Neradigonda,19-Jul-22,23.3,26.1
Adilabad,Neradigonda,20-Jul-22,23.4,31.6
Adilabad,Neradigonda,21-Jul-22,22.8,31.4
